"","V1"
"inaug_AndrewJackson_1_2",10
"inaug_AndrewJackson_1_3",10
"inaug_AndrewJackson_1_4",2
"inaug_AndrewJackson_1_5",14
"inaug_AndrewJackson_1_6",14
"inaug_AndrewJackson_1_7",14
"inaug_AndrewJackson_1_8",1
"inaug_AndrewJackson_1_9",1
"inaug_AndrewJackson_1_10",1
"inaug_AndrewJackson_1_11",1
"inaug_AndrewJackson_1_12",1
"inaug_AndrewJackson_1_13",1
"inaug_AndrewJackson_1_14",4
"inaug_AndrewJackson_1_15",4
"inaug_AndrewJackson_1_16",4
"inaug_AndrewJackson_1_17",4
"inaug_AndrewJackson_1_18",1
"inaug_AndrewJackson_1_19",1
"inaug_AndrewJackson_1_20",9
"inaug_AndrewJackson_1_21",9
"inaug_AndrewJackson_1_22",2
"inaug_AndrewJackson_1_23",1
"inaug_AndrewJackson_1_24",1
"inaug_AndrewJackson_1_25",1
"inaug_AndrewJackson_1_26",10
"inaug_AndrewJackson_1_27",10
"inaug_MartinvanBuren_1_2",10
"inaug_MartinvanBuren_1_3",10
"inaug_MartinvanBuren_1_4",10
"inaug_MartinvanBuren_1_5",10
"inaug_MartinvanBuren_1_6",10
"inaug_MartinvanBuren_1_7",10
"inaug_MartinvanBuren_1_8",10
"inaug_MartinvanBuren_1_9",5
"inaug_MartinvanBuren_1_10",5
"inaug_MartinvanBuren_1_11",5
"inaug_MartinvanBuren_1_12",15
"inaug_MartinvanBuren_1_13",15
"inaug_MartinvanBuren_1_14",15
"inaug_MartinvanBuren_1_15",14
"inaug_MartinvanBuren_1_16",5
"inaug_MartinvanBuren_1_17",5
"inaug_MartinvanBuren_1_18",5
"inaug_MartinvanBuren_1_19",14
"inaug_MartinvanBuren_1_20",6
"inaug_MartinvanBuren_1_21",6
"inaug_MartinvanBuren_1_22",14
"inaug_MartinvanBuren_1_23",14
"inaug_MartinvanBuren_1_24",14
"inaug_MartinvanBuren_1_25",14
"inaug_MartinvanBuren_1_26",14
"inaug_MartinvanBuren_1_27",14
"inaug_MartinvanBuren_1_28",3
"inaug_MartinvanBuren_1_29",7
"inaug_MartinvanBuren_1_30",2
"inaug_MartinvanBuren_1_31",5
"inaug_MartinvanBuren_1_32",5
"inaug_MartinvanBuren_1_33",6
"inaug_MartinvanBuren_1_34",5
"inaug_MartinvanBuren_1_35",5
"inaug_MartinvanBuren_1_36",5
"inaug_MartinvanBuren_1_37",5
"inaug_MartinvanBuren_1_38",5
"inaug_MartinvanBuren_1_39",5
"inaug_MartinvanBuren_1_40",5
"inaug_MartinvanBuren_1_41",5
"inaug_MartinvanBuren_1_42",5
"inaug_MartinvanBuren_1_43",5
"inaug_MartinvanBuren_1_44",5
"inaug_MartinvanBuren_1_45",2
"inaug_MartinvanBuren_1_46",11
"inaug_MartinvanBuren_1_47",7
"inaug_MartinvanBuren_1_48",7
"inaug_MartinvanBuren_1_49",7
"inaug_MartinvanBuren_1_50",7
"inaug_MartinvanBuren_1_51",7
"inaug_MartinvanBuren_1_52",7
"inaug_MartinvanBuren_1_53",7
"inaug_MartinvanBuren_1_54",4
"inaug_MartinvanBuren_1_55",5
"inaug_MartinvanBuren_1_56",5
"inaug_MartinvanBuren_1_57",5
"inaug_MartinvanBuren_1_58",5
"inaug_MartinvanBuren_1_59",5
"inaug_MartinvanBuren_1_60",5
"inaug_MartinvanBuren_1_61",5
"inaug_MartinvanBuren_1_62",5
"inaug_MartinvanBuren_1_63",9
"inaug_MartinvanBuren_1_64",9
"inaug_MartinvanBuren_1_65",4
"inaug_MartinvanBuren_1_66",4
"inaug_MartinvanBuren_1_67",4
"inaug_MartinvanBuren_1_68",5
"inaug_MartinvanBuren_1_69",5
"inaug_MartinvanBuren_1_70",5
"inaug_MartinvanBuren_1_71",14
"inaug_MartinvanBuren_1_72",5
"inaug_MartinvanBuren_1_73",12
"inaug_MartinvanBuren_1_74",14
"inaug_MartinvanBuren_1_75",5
"inaug_MartinvanBuren_1_76",5
"inaug_MartinvanBuren_1_77",5
"inaug_MartinvanBuren_1_78",5
"inaug_MartinvanBuren_1_79",5
"inaug_MartinvanBuren_1_80",14
"inaug_MartinvanBuren_1_81",14
"inaug_MartinvanBuren_1_82",5
"inaug_MartinvanBuren_1_83",5
"inaug_MartinvanBuren_1_84",5
"inaug_MartinvanBuren_1_85",5
"inaug_MartinvanBuren_1_86",5
"inaug_MartinvanBuren_1_87",5
"inaug_MartinvanBuren_1_88",10
"inaug_MartinvanBuren_1_89",10
"inaug_MartinvanBuren_1_90",10
"inaug_MartinvanBuren_1_91",10
"inaug_MartinvanBuren_1_92",10
"inaug_MartinvanBuren_1_93",10
"inaug_MartinvanBuren_1_94",5
"inaug_MartinvanBuren_1_95",5
"inaug_MartinvanBuren_1_96",5
"inaug_MartinvanBuren_1_97",5
"inaug_MartinvanBuren_1_98",5
"inaug_MartinvanBuren_1_99",5
"inaug_MartinvanBuren_1_100",5
"inaug_MartinvanBuren_1_101",9
"inaug_MartinvanBuren_1_102",4
"inaug_MartinvanBuren_1_103",5
"inaug_MartinvanBuren_1_104",5
"inaug_MartinvanBuren_1_105",5
"inaug_MartinvanBuren_1_106",5
"inaug_MartinvanBuren_1_107",5
"inaug_MartinvanBuren_1_108",14
"inaug_MartinvanBuren_1_109",4
"inaug_MartinvanBuren_1_110",14
"inaug_MartinvanBuren_1_111",14
"inaug_MartinvanBuren_1_112",14
"inaug_MartinvanBuren_1_113",9
"inaug_MartinvanBuren_1_114",10
"inaug_MartinvanBuren_1_115",10
"inaug_MartinvanBuren_1_116",10
"inaug_MartinvanBuren_1_117",9
"inaug_MartinvanBuren_1_118",9
"inaug_MartinvanBuren_1_119",12
"inaug_MartinvanBuren_1_120",12
"inaug_MartinvanBuren_1_121",12
"inaug_MartinvanBuren_1_122",12
"inaug_MartinvanBuren_1_123",10
"inaug_MartinvanBuren_1_124",10
"inaug_MartinvanBuren_1_125",10
"inaug_MartinvanBuren_1_126",10
"inaug_MartinvanBuren_1_127",10
"inaug_MartinvanBuren_1_128",10
"inaug_MartinvanBuren_1_129",10
"inaug_MartinvanBuren_1_130",10
"inaug_MartinvanBuren_1_131",10
"inaug_MartinvanBuren_1_132",10
"inaug_JamesKPolk_1_2",10
"inaug_JamesKPolk_1_3",10
"inaug_JamesKPolk_1_4",10
"inaug_JamesKPolk_1_5",10
"inaug_JamesKPolk_1_6",10
"inaug_JamesKPolk_1_7",10
"inaug_JamesKPolk_1_8",10
"inaug_JamesKPolk_1_9",14
"inaug_JamesKPolk_1_10",14
"inaug_JamesKPolk_1_11",14
"inaug_JamesKPolk_1_12",14
"inaug_JamesKPolk_1_13",14
"inaug_JamesKPolk_1_14",14
"inaug_JamesKPolk_1_15",14
"inaug_JamesKPolk_1_16",14
"inaug_JamesKPolk_1_17",14
"inaug_JamesKPolk_1_18",1
"inaug_JamesKPolk_1_19",14
"inaug_JamesKPolk_1_20",4
"inaug_JamesKPolk_1_21",4
"inaug_JamesKPolk_1_22",9
"inaug_JamesKPolk_1_23",15
"inaug_JamesKPolk_1_24",15
"inaug_JamesKPolk_1_25",14
"inaug_JamesKPolk_1_26",14
"inaug_JamesKPolk_1_27",14
"inaug_JamesKPolk_1_28",14
"inaug_JamesKPolk_1_29",14
"inaug_JamesKPolk_1_30",14
"inaug_JamesKPolk_1_31",14
"inaug_JamesKPolk_1_32",15
"inaug_JamesKPolk_1_33",15
"inaug_JamesKPolk_1_34",15
"inaug_JamesKPolk_1_35",14
"inaug_JamesKPolk_1_36",7
"inaug_JamesKPolk_1_37",14
"inaug_JamesKPolk_1_38",14
"inaug_JamesKPolk_1_39",14
"inaug_JamesKPolk_1_40",14
"inaug_JamesKPolk_1_41",14
"inaug_JamesKPolk_1_42",9
"inaug_JamesKPolk_1_43",4
"inaug_JamesKPolk_1_44",4
"inaug_JamesKPolk_1_45",4
"inaug_JamesKPolk_1_46",4
"inaug_JamesKPolk_1_47",4
"inaug_JamesKPolk_1_48",7
"inaug_JamesKPolk_1_49",2
"inaug_JamesKPolk_1_50",2
"inaug_JamesKPolk_1_51",15
"inaug_JamesKPolk_1_52",14
"inaug_JamesKPolk_1_53",14
"inaug_JamesKPolk_1_54",14
"inaug_JamesKPolk_1_55",7
"inaug_JamesKPolk_1_56",4
"inaug_JamesKPolk_1_57",4
"inaug_JamesKPolk_1_58",4
"inaug_JamesKPolk_1_59",4
"inaug_JamesKPolk_1_60",4
"inaug_JamesKPolk_1_61",4
"inaug_JamesKPolk_1_62",4
"inaug_JamesKPolk_1_63",14
"inaug_JamesKPolk_1_64",14
"inaug_JamesKPolk_1_65",14
"inaug_JamesKPolk_1_66",14
"inaug_JamesKPolk_1_67",14
"inaug_JamesKPolk_1_68",14
"inaug_JamesKPolk_1_69",14
"inaug_JamesKPolk_1_70",14
"inaug_JamesKPolk_1_71",14
"inaug_JamesKPolk_1_72",14
"inaug_JamesKPolk_1_73",14
"inaug_JamesKPolk_1_74",14
