"","V1"
"inaug_AbrahamLincoln_1_2",2
"inaug_AbrahamLincoln_1_3",2
"inaug_AbrahamLincoln_1_4",2
"inaug_AbrahamLincoln_1_5",5
"inaug_AbrahamLincoln_1_6",13
"inaug_AbrahamLincoln_1_7",2
"inaug_AbrahamLincoln_1_8",13
"inaug_AbrahamLincoln_1_9",11
"inaug_AbrahamLincoln_1_10",11
"inaug_AbrahamLincoln_1_11",2
"inaug_AbrahamLincoln_1_12",2
"inaug_AbrahamLincoln_1_13",2
"inaug_AbrahamLincoln_1_14",2
"inaug_AbrahamLincoln_1_15",2
"inaug_AbrahamLincoln_1_16",2
"inaug_AbrahamLincoln_1_17",2
"inaug_AbrahamLincoln_1_18",11
"inaug_AbrahamLincoln_1_19",11
"inaug_AbrahamLincoln_1_20",11
"inaug_AbrahamLincoln_1_21",11
"inaug_AbrahamLincoln_1_22",11
"inaug_AbrahamLincoln_1_23",11
"inaug_AbrahamLincoln_1_24",11
"inaug_AbrahamLincoln_1_25",2
"inaug_AbrahamLincoln_1_26",6
"inaug_AbrahamLincoln_1_27",6
"inaug_AbrahamLincoln_1_28",2
"inaug_AbrahamLincoln_1_29",4
"inaug_AbrahamLincoln_1_30",4
"inaug_AbrahamLincoln_1_31",4
"inaug_AbrahamLincoln_1_32",2
"inaug_AbrahamLincoln_1_33",2
"inaug_AbrahamLincoln_1_34",2
"inaug_AbrahamLincoln_1_35",2
"inaug_AbrahamLincoln_1_36",2
"inaug_AbrahamLincoln_1_37",2
"inaug_AbrahamLincoln_1_38",2
"inaug_AbrahamLincoln_1_39",2
"inaug_AbrahamLincoln_1_40",2
"inaug_AbrahamLincoln_1_41",2
"inaug_AbrahamLincoln_1_42",2
"inaug_AbrahamLincoln_1_43",2
"inaug_AbrahamLincoln_1_44",2
"inaug_AbrahamLincoln_1_45",2
"inaug_AbrahamLincoln_1_46",2
"inaug_AbrahamLincoln_1_47",2
"inaug_AbrahamLincoln_1_48",2
"inaug_AbrahamLincoln_1_49",2
