"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","govern","interest","world","countri","everi","great","hand","can","state","will","american","will","time","constitut","right"
"2","public","law","new","free","present","men","day","peopl","may","duti","america","nation","let","state","upon"
"3","peopl","govern","human","prosper","subject","live","polit","must","shall","offic","work","seek","power","union","everi"
"4","shall","protect","freedom","common","hope","look","question","help","foreign","trust","chang","peac","nation","power","must"
"5","good","one","man","everi","patriot","justic","success","effort","unit","may","today","way","never","govern","respect"
"6","polici","duti","just","secur","spirit","life","high","land","territori","desir","call","strengthen","pledg","exist","regard"
"7","citizen","principl","strength","liberti","danger","mani","task","believ","peac","confid","generat","purpos","side","preserv","futur"
"8","civil","revenu","god","increas","last","come","mind","resourc","congress","honor","togeth","relat","hope","feder","stand"
"9","need","equal","spirit","bless","less","upon","whether","achiev","war","never","faith","intern","control","form","place"
"10","system","requir","now","provid","republ","well","parti","product","extend","execut","endur","action","alway","domest","act"
"11","demand","within","first","much","institut","thing","ask","find","power","aid","old","continu","beyond","institut","secur"
"12","administr","practic","still","import","confid","long","valu","knowledg","independ","devot","fellow","advanc","know","happi","oblig"
"13","labor","just","presid","arm","father","might","posit","life","opinion","respons","face","cours","meet","general","home"
"14","found","home","democraci","trade","experi","thought","mere","famili","measur","faith","say","welfar","histori","limit","sacr"
"15","law","necessari","year","popul","time","fear","influenc","greater","number","countrymen","see","give","begin","author","can"
"16","advantag","without","oath","perfect","made","made","heart","human","now","expect","citizen","program","can","object","abroad"
"17","promot","commerc","belief","ever","result","struggl","restor","benefit","vast","whose","friend","histori","weak","one","rest"
"18","honest","reason","communism","progress","caus","rememb","end","mankind","except","countri","hour","major","doubt","clear","now"
"19","best","proper","across","enjoy","maintain","wealth","person","better","defend","support","challeng","greatest","earth","unit","legitim"
"20","principl","sound","special","million","wisdom","even","carri","strong","becom","best","centuri","democrat","take","strict","intercours"
