"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","nation","law","will","great","public","shall","peopl","world","american","congress","parti","free","may","presid","can"
"2","peac","state","america","nation","secur","duti","govern","peac","new","busi","countri","freedom","race","one","must"
"3","polici","constitut","make","time","everi","offic","upon","civil","live","import","polit","know","state","today","much"
"4","maintain","right","good","year","govern","purpos","power","old","mean","chang","question","faith","exist","day","continu"
"5","war","citizen","believ","first","revenu","servic","administr","human","work","effect","made","men","progress","god","problem"
"6","forc","protect","let","hope","demand","may","given","seek","product","execut","one","never","trade","place","found"
"7","way","enforc","come","countri","larg","just","better","justic","opportun","possibl","elect","world","unit","spirit","make"
"8","everi","union","need","now","system","act","danger","advanc","home","legisl","differ","strength","communiti","man","caus"
"9","foreign","feder","countri","mani","upon","expect","limit","promot","equal","pass","section","life","interest","earth","done"
"10","favor","amend","noth","centuri","countri","take","land","republ","hand","labor","case","common","increas","love","success"
"11","respect","author","mani","institut","meet","best","experi","war","children","tariff","subject","beyond","south","begin","face"
"12","alway","within","sacrific","greater","prosper","oath","great","high","bring","administr","principl","econom","educ","moment","without"
"13","intern","unit","togeth","order","expenditur","public","popular","express","long","reform","now","fail","well","see","fear"
"14","treati","part","confid","courag","necessari","appoint","respons","nation","open","need","fact","reach","use","word","one"
"15","interest","execut","suffer","futur","economi","ideal","view","independ","generat","determin","may","thought","among","histori","thing"
"16","proper","whole","now","yet","condit","give","general","understand","industri","certain","accept","toward","develop","voic","direct"
"17","like","justic","forward","even","pay","taken","rest","help","want","action","still","hope","condit","destini","respons"
"18","best","provis","commit","past","time","citizenship","practic","reason","call","depart","mere","man","prevent","bless","well"
"19","relat","territori","concern","liberti","necess","person","patriot","establish","friend","consider","regard","ever","encourag","heart","task"
"20","other","properti","heart","find","now","sens","social","mankind","back","proper","support","find","feel","share","bodi"
